data_compra_date;id_pedido;id_produto;entrega_uf;receita_frete;receita_produto;quantidade_produto;situacao;tipo_venda;canal;desconto_produto;receita_total;nome_produto;categoria
2020-01-30;7830233;544113;PR;36.86000061;180.8999939;1;Aprovado;1P;MM;-14.17;203.5899945;Escrivaninha Cavalete 4 Prateleiras Hawaii Yescasa;Escrivaninhas
2020-01-06;7521840;148376;SP;29.05999947;469.8999939;1;Aprovado;1P;B2W;-46.99000168;451.9699917;Conjunto Sala de Jantar Mesa Tampo de Vidro e 4 Cadeiras Espresso Móveis;Conjuntos de Mesas e Cadeiras de Jantar
2020-01-29;7824799;280052;SP;86.08999634;399.8999939;1;Aprovado;1P;Carrefour;0;485.9899902;Armário de Cozinha 12 Portas 1 Gaveta Clara Poliman Móveis;Armários de Cozinha
2020-01-23;7761090;553063;MG;108.9800034;959.9000244;1;Cancelado;1P;MM;0;1068.880028;Penteadeira Camarim Retrô com LED 5 Gavetas Nevada Potente;Penteadeiras
2020-01-14;7644963;1175243;SP;16.07999992;142;1;Aprovado;3P;MM;0;158.0799999;Quadro Abstrato Decorativo - 57x120cm;Quadros
2020-01-17;7683578;1062306;SP;15.06000042;129.8999939;1;Aprovado;3P;MM;0;144.9599943;Cortina Jacquard 3.00 x 2.50 para sala/quarto | Admirare - Champagne;Cortinas
2020-01-30;7836015;542777;MG;86.66999817;239.8999939;1;Aprovado;1P;Magazine Luiza;0;326.5699921;Escrivaninha com Estante 2 Gavetas Poli Poliman Móveis;Escrivaninhas
2020-01-04;7495461;554446;SP;63.81999969;815.0800171;1;Aprovado;1P;B2W;0;878.9000168;Guarda Roupa Casal com Espelho 3 Portas de Correr Vitor Macchiato Móveis;Guarda-Roupas
2020-01-07;7546781;493823;SP;0;489.8999939;1;Aprovado;1P;Mercado Livre;0;489.8999939;Mesa Gamer Desk DRX 5000 Espresso Móveis;Escrivaninhas
2020-01-15;7662208;2010151;MG;66.55000305;78;2;Aprovado;3P;MM;0;144.5500031;Mesa de Cabeceira Suspensa Branco Tipo Nicho;Mesas de Cabeceira
2020-01-10;7583716;303938;RJ;97.73000336;157.8999939;1;Cancelado;1P;MM;0;255.6299973;Mesa de Jantar em Madeira Nina Carraro;Mesas
2020-01-23;7754511;178962;SP;218.7299957;859.9000244;1;Cancelado;1P;MM;0;1078.63002;Guarda Roupa Casal com Espelho 3 Portas de Correr Flórida Espresso Móveis;Guarda-Roupas
2020-01-03;7482909;327482;RS;144.4499969;403.2799988;1;Aprovado;1P;Magazine Luiza;0;547.7299957;Conjunto Sala de Jantar Mesa 6 Cadeiras Nicoli Sonetto Móveis;Conjuntos de Mesas e Cadeiras de Jantar
2020-01-27;7792572;1591984;ES;32.06999969;53.11000061;1;Cancelado;3P;MM;0;85.18000031;Brinquedos Educativos - Alfabeto Móvel Em Madeira 40 Peças;Brinquedos
2020-01-11;7597293;293728;SP;59.77000046;379.8999939;1;Aprovado;1P;Magazine Luiza;0;439.6699944;Beliche Solteiro Indy Conquista Móveis;Camas
2020-01-18;7693644;1807324;SP;55;701.9199829;2;Cancelado;3P;MM;0;756.9199829;Cama Infantil Carro F1 090 Gelius Móveis;Camas
2020-01-01;7455553;532767;SP;67.33000183;349.8999939;1;Aprovado;1P;MM;0;417.2300072;Armário Multiuso para Lavanderia 2 Portas 3 Prateleiras Aracaju Arte Móveis;Armários Multiuso
2020-01-24;7764001;362145;MG;153.8800049;1139.900024;1;Aprovado;1P;MM;0;1293.780029;Conjunto Sala de Jantar Mesa Classic Tampo de Vidro 6 Cadeiras Vitória Cel Móveis;Conjuntos de Mesas e Cadeiras de Jantar
2020-01-29;7820245;2086206;SC;198.8999939;2099;1;Cancelado;3P;MM;0;2297.899994;Sofá Cairo 3.52M Retrátil e Reclinável com Molas No Assento e 6 Almofadas Tecido Suede;Sofás
2020-01-13;7624637;534710;MG;154.0099945;442.2600098;1;Aprovado;1P;MM;0;596.2700043;Conjunto Mesa e 2 Bancos Festivo Life Espresso Móveis;Conjuntos de Jardim e Varanda
2020-01-13;7630060;491077;MA;110.8899994;85.93000031;1;Em Aprovação;1P;Magazine Luiza;0;196.8199997;Painel para TV até 37 Polegadas Espresso Móveis;Painel para TV
2020-01-18;7689140;185355;SP;29.21999931;96.90000153;1;Cancelado;1P;B2W;-4.849999905;121.2700009;Painel para TV até 42 Polegadas Life Espresso Móveis;Painel para TV
2020-01-10;7595762;510388;SP;0;489.8999939;1;Aprovado;1P;MM;0;489.8999939;Guarda Roupa Casal com Cabeceira Baú 5 Portas 3 Gavetas e Prateleiras Cancun Espresso Móveis;Guarda-Roupas
2020-01-13;7634888;254236;PE;336.8800049;2065.540039;1;Aprovado;1P;B2W;0;2402.420044;Cozinha Completa com Balcão e Tampo 5 Peças Baronesa Nesher Móveis;Armários de Cozinha
2020-01-23;7750427;1671215;SC;0;299.8999939;1;Aprovado;3P;MM;0;299.8999939;Pipoqueira Philco Classic Retrô PPI04V 220V;Pipoqueira
2020-01-06;7533437;542777;SP;53.63999939;239.8999939;1;Em Aprovação;1P;Magazine Luiza;-23.98999977;269.5499935;Escrivaninha com Estante 2 Gavetas Poli Poliman Móveis;Escrivaninhas
2020-01-22;7738287;565113;SP;49.93999863;259.8999939;1;Aprovado;1P;MM;0;309.8399925;Sapateira 1 Porta com Espelho Lux Espresso Móveis;Sapateiras
2020-01-18;7691597;1877797;SP;33.79999924;224.3899994;1;Aprovado;3P;MM;0;258.1899986;Bancada Gourmet II para Cozinha com Nichos - Branco;Armários de Cozinha
2020-01-29;7821866;1702386;RS;225.6900024;3099;1;Aprovado;3P;MM;0;3324.690002;Refrigerador/Expositor Vertical Gelopar GPTU-40 Frost Free 414 L Preto 220V;Expositores Refrigerados
2020-01-12;7621101;387877;RJ;42.81000137;285.7999878;2;Aprovado;1P;B2W;-15.04210404;313.5678851;Mesa de Cabeceira Antares;Mesas de Cabeceira
2020-01-20;7720441;521819;SP;153.2200012;579.7999878;2;Aprovado;1P;CNova;0;733.019989;Guarda Roupa Casal 6 Portas 1 Porta Basculante 1 Gaveta Dallas Espresso Móveis;Guarda-Roupas
2020-01-21;7731043;282581;SP;0;1029.900024;1;Cancelado;1P;MM;0;1029.900024;Conjunto Sala de Jantar Mesa Alana Retângular 4 Cadeiras Milena Cimol;Conjuntos de Mesas e Cadeiras de Jantar
2020-01-05;7508414;1376435;SP;8.680000305;35.90000153;1;Cancelado;3P;MM;0;44.58000183;Adesivo de Azulejo Magenta 10x10 cm com 50un;Adesivos
2020-01-10;7587413;250344;MG;132.0800018;426.25;1;Aprovado;1P;Mercado Livre;0;558.3300018;Cômoda 7 Gavetas 2 Portas com Rodízios London Demóbile;Cômodas
2020-01-10;7597123;560731;SP;43.13000107;699.9000244;1;Aprovado;1P;B2W;0;743.0300255;Buffet 4 Portas e 2 Gavetas 160cm Versátile Veneza Casa D;Buffets
2020-01-06;7532595;554178;MG;74.73000336;679.9000244;1;Aprovado;1P;B2W;0;754.6300278;Quarto de Bebê com Guarda Roupa 3 Portas Cômoda e Arco Íris Macchiato Móveis Flex Color;Conjuntos de Quarto
2020-01-04;7493638;2310701;RS;100;339.8999939;1;Aprovado;3P;MM;0;439.8999939;Kit 02 Poltronas Decorativas Aurora Suede;Poltronas
2020-01-03;7475199;546770;SP;94.16999817;309.8999939;1;Em Aprovação;1P;Magazine Luiza;-30.98999977;373.0799923;Armário Multiuso 4 Portas 8 Prateleiras Milão Espresso Móveis;Armários Multiuso
2020-01-08;7564311;493823;SP;0;419.8999939;1;Aprovado;1P;MM;-41.99;377.9099939;Mesa Gamer Desk DRX 5000 Espresso Móveis;Escrivaninhas
2020-01-27;7800218;1554228;MG;59;218.8999939;1;Aprovado;3P;MM;0;277.8999939;Cadeira de Escritório Secretária Pelegrin PEL-S653 Cinza;Cadeiras de Escritório
2020-01-06;7529852;1983194;RS;121;3859.899902;1;Aprovado;3P;MM;0;3980.899902;Poltrona do Papai Reclinável Giratória Armênia Glider Mecânico Couro Conhaque Brilho - Gran;Poltronas
2020-01-06;7533897;365124;SP;29.79000092;165.8999939;1;Cancelado;1P;B2W;0;195.6899948;Estante para Livros 5 Prateleiras Linus Qmovi;Estantes
2020-01-16;7664268;194845;SP;208.0599976;1954.469971;1;Aprovado;1P;Mercado Livre;0;2162.529968;Guarda Roupa Casal com Espelho 3 Portas 8 Gavetas Udine Espresso Móveis;Guarda-Roupas
2020-01-06;7523240;565006;SP;26.45000076;219.8999939;1;Aprovado;1P;B2W;0;246.3499947;Rack com Painel Para TV até 55 Polegadas e 1 Porta Miami Beach Yescasa;Rack com Painel
2020-01-13;7626550;250345;SP;93.29000092;435.9500122;1;Cancelado;1P;B2W;0;529.2400131;Cômoda 7 Gavetas 2 Portas com Rodízios London Demóbile;Cômodas
2020-01-21;7735489;2230767;SP;139.7200012;809;1;Aprovado;3P;MM;0;948.7200012;Guarda-Roupa Casal 6 Portas 3 Gavetas Internas Olimpo Tcil Móveis;Guarda-Roupas
2020-01-02;7467864;174028;SP;137.8000031;695.9000244;1;Aprovado;1P;Magazine Luiza;-104.3799973;729.3200302;Guarda Roupa Casal com Espelho 3 Portas de Correr Lara Espresso Móveis;Guarda-Roupas
2020-01-06;7524265;1345230;RJ;235;859.9000244;1;Aprovado;3P;MM;0;1094.900024;Kit 02 Poltronas Decorativas Para Sala de Estar Yara Linho Bege - Lyam Decor;Poltronas
2020-01-22;7737883;340759;BA;376.8800049;1946.150024;1;Aprovado;1P;B2W;0;2323.03006;Freezer Horizontal Vidros Deslizantes 307L Profissional Gelopar 220V;Freezer
2020-01-04;7495425;1043106;SP;19.12000084;81.58999634;1;Cancelado;3P;MM;0;100.7099972;Cortina Voil Pérola Sala Quarto 6.00x2.80 Ilhós Cromado;Cortinas
2020-01-20;7713404;1947310;MG;18.70000076;99.90000153;1;Aprovado;3P;MM;0;118.6000023;Kit Edredom Confort Casa Dona Dupla Face Casal Queen 6 Pçs Com Lençol Preto;Edredom
2020-01-23;7756555;1971079;SP;65;224.9100037;1;Cancelado;3P;MM;0;289.9100037;Mesa para Escritório e Home Office Industrial Soft F01 Branco Fosco - Lyam Decor;Escrivaninhas
2020-01-31;7846327;361100;SP;51.72999954;140.8999939;1;Aprovado;1P;MM;0;192.6299934;Painel para TV de até 43 Polegadas Mister Viero;Painel para TV
2020-01-17;7686590;482397;SP;47.75999832;209.8999939;1;Aprovado;1P;MM;0;257.6599922;Painel para TV até 50 Polegadas 2 Nichos Topázio Contemporâneo Mavaular;Painel para TV
2020-01-26;7788393;1591975;SP;59.77000046;66.61000061;1;Cancelado;3P;MM;0;126.3800011;Brinquedos Educativos - Sacola Alfanumérica 1000 Peças;Brinquedos
2020-01-20;7713959;487962;RJ;158.6799927;468.5599976;1;Aprovado;1P;B2W;0;627.2399902;Guarda Roupa Casal 6 Portas 2 Gavetas Paris Espresso Móveis;Guarda-Roupas
